 format: day,hour,value location:63_126 Start : 20231201 
1,0,-2.1
1,100,-0.6
1,200,0.8
1,300,1.5
1,400,2
1,500,1.6
1,600,1.3
1,700,-0.2
1,800,-0.8
1,900,-0.9
1,1000,-1
1,1100,-0.9
1,1200,-2
1,1300,-2.8
1,1400,-3.1
1,1500,-3.7
1,1600,-4
1,1700,-4.1
1,1800,-4.5
1,1900,-4
1,2000,-3.5
1,2100,-2.9
1,2200,-2.3
1,2300,-1.2
2,0,-0.1
2,100,1
2,200,3.7
2,300,3.9
2,400,5.7
2,500,5
2,600,6.3
2,700,6.1
2,800,5.7
2,900,5.8
2,1000,6
2,1100,6.2
2,1200,5.5
2,1300,3.9
2,1400,2.3
2,1500,1.2
2,1600,0.8
2,1700,0.3
2,1800,-0.1
2,1900,-0.2
2,2000,-0.7
2,2100,-1.5
2,2200,-0.7
2,2300,1.1
3,0,2.4
3,100,2.7
3,200,3.6
3,300,4.9
3,400,6
3,500,5.6
3,600,5
3,700,3.8
3,800,3
3,900,2.5
3,1000,2
3,1100,0.7
3,1200,-0.1
3,1300,-0.6
3,1400,-1.3
3,1500,-1.8
3,1600,-1.9
3,1700,-2.4
3,1800,-2.6
3,1900,-2.8
3,2000,-2.9
3,2100,-3
3,2200,-2.3
3,2300,-1.1
4,0,0.6
4,100,3.6
4,200,4.2
4,300,7.1
4,400,8.4
4,500,8.6
4,600,7.1
4,700,6.2
4,800,4.8
4,900,4.4
4,1000,3.4
4,1100,3.1
4,1200,2.4
4,1300,2.3
4,1400,2.7
4,1500,2.7
4,1600,3
4,1700,2.5
4,1800,2.9
4,1900,3.2
4,2000,3.3
4,2100,3.1
4,2200,3.3
4,2300,4.3
5,0,5.9
5,100,8
5,200,9.3
5,300,10.8
5,400,12.2
5,500,10.8
5,600,10.7
5,700,9.7
5,800,8.9
5,900,7.9
5,1000,7.4
5,1100,6.3
5,1200,4.9
5,1300,4.2
5,1400,3.7
5,1500,3.2
5,1600,2.6
5,1700,3
5,1800,2.3
5,1900,2.9
5,2000,3.2
5,2100,3.3
5,2200,3.7
5,2300,4.5
6,0,5.7
6,100,7
6,200,7.8
6,300,7.9
6,400,7.5
6,500,7.5
6,600,7.7
6,700,6.9
6,800,6.5
6,900,6.4
6,1000,7.4
6,1100,7.9
6,1200,6.5
6,1300,5.7
6,1400,5.8
6,1500,5.3
6,1600,4.4
6,1700,4.1
6,1800,3.4
6,1900,3
6,2000,3.3
6,2100,3.1
6,2200,2.1
6,2300,3
7,0,6.1
7,100,7.5
7,200,9
7,300,10.7
7,400,11.7
7,500,11.4
7,600,11.2
7,700,10.6
7,800,10.4
7,900,10.2
7,1000,9.3
7,1100,8.9
7,1200,8.3
7,1300,7.4
7,1400,7.5
7,1500,6.5
7,1600,6.7
7,1700,6.7
7,1800,6.3
7,1900,5.3
7,2000,5.1
7,2100,6.1
7,2200,6.4
7,2300,8.6
8,0,10.5
8,100,12.9
8,200,14.6
8,300,15.7
8,400,16.4
8,500,16.799999
8,600,16.5
8,700,15.7
8,800,15.3
8,900,14.4
8,1000,13.8
8,1100,13.3
8,1200,12.9
8,1300,13.8
8,1400,13.7
8,1500,13.3
8,1600,13.2
8,1700,12.7
8,1800,12.1
8,1900,13.1
8,2000,12.6
8,2100,12.9
8,2200,13.2
8,2300,13.4
9,0,14
9,100,14.6
9,200,15
9,300,15.8
9,400,15.9
9,500,17
9,600,15.7
9,700,14.6
9,800,14.1
9,900,14.1
9,1000,13.6
9,1100,13.3
9,1200,12.6
9,1300,12.1
9,1400,12.1
9,1500,11.6
9,1600,11.4
9,1700,10.9
9,1800,10
9,1900,9.3
9,2000,8.6
9,2100,7.9
9,2200,7.6
9,2300,8.3
10,0,9.8
10,100,11.1
10,200,12.1
10,300,13.3
10,400,15.1
10,500,15.2
10,600,14.3
10,700,13.5
10,800,12.9
10,900,13.3
10,1000,13.1
10,1100,12.7
10,1200,12.6
10,1300,12.5
10,1400,12.2
10,1500,11.7
10,1600,11.7
10,1700,11.2
10,1800,11.8
10,1900,11.7
10,2000,11.1
10,2100,10.7
10,2200,10.7
10,2300,10.5
11,0,10.7
11,100,11
11,200,9.7
11,300,9.1
11,400,8.8
11,500,8.7
11,600,8.5
11,700,8.5
11,800,7.6
11,900,6.8
11,1000,6
11,1100,5.6
11,1200,5.2
11,1300,4.7
11,1400,4.6
11,1500,4.9
11,1600,4.8
11,1700,4.5
11,1800,4.3
11,1900,4.2
11,2000,4.5
11,2100,4.4
11,2200,4.2
11,2300,5
12,0,5.6
12,100,6.3
12,200,6.7
12,300,7.3
12,400,7.9
12,500,8.7
12,600,8.1
12,700,7.7
12,800,7.4
12,900,6.5
12,1000,6
12,1100,5.6
12,1200,4.8
12,1300,4.1
12,1400,3.4
12,1500,2.9
12,1600,2.5
12,1700,2.1
12,1800,2
12,1900,1.6
12,2000,2.1
12,2100,2.3
12,2200,3.1
12,2300,4.5
13,0,7.3
13,100,7.2
13,200,8
13,300,8
13,400,9.7
13,500,10
13,600,10
13,700,9.5
13,800,9.1
13,900,8.9
13,1000,8.8
13,1100,8.9
13,1200,8.8
13,1300,8.7
13,1400,8.7
13,1500,8.6
13,1600,8.7
13,1700,8.7
13,1800,8.4
13,1900,8.3
13,2000,8.1
13,2100,8.1
13,2200,8
13,2300,7.9
14,0,7.3
14,100,7.1
14,200,7.3
14,300,7.4
14,400,7.5
14,500,7.5
14,600,7.1
14,700,7.3
14,800,7.4
14,900,7.3
14,1000,6.8
14,1100,6.5
14,1200,5.9
14,1300,6
14,1400,6.3
14,1500,6
14,1600,5.3
14,1700,5.2
14,1800,5.1
14,1900,4.8
14,2000,4.7
14,2100,4.3
14,2200,4.3
14,2300,4.3
15,0,4.2
15,100,4.2
15,200,4.2
15,300,4.4
15,400,4.4
15,500,4.6
15,600,4.6
15,700,4.5
15,800,4.7
15,900,4.8
15,1000,4.5
15,1100,4.7
15,1200,4
15,1300,3.7
15,1400,4.3
15,1500,4.3
15,1600,2.9
15,1700,2.3
15,1800,1.4
15,1900,0.6
15,2000,0.3
15,2100,-0.5
15,2200,-0.7
15,2300,-1.6
16,0,-1.3
16,100,-1.4
16,200,-0.9
16,300,-2.6
16,400,-2.1
16,500,-3.3
16,600,-3.5
16,700,-4.4
16,800,-5.1
16,900,-6.2
16,1000,-7.1
16,1100,-7.9
16,1200,-8.2
16,1300,-8.6
16,1400,-9.1
16,1500,-9.5
16,1600,-9.9
16,1700,-10.1
16,1800,-10.5
16,1900,-10.5
16,2000,-10.9
16,2100,-11
16,2200,-11.6
16,2300,-10.5
17,0,-9.3
17,100,-8.1
17,200,-6
17,300,-5.6
17,400,-5.5
17,500,-5
17,600,-6.1
17,700,-6.7
17,800,-7.3
17,900,-7.8
17,1000,-8.1
17,1100,-8.5
17,1200,-8.9
17,1300,-9.3
17,1400,-9.7
17,1500,-10.2
17,1600,-10.6
17,1700,-10.6
17,1800,-10.7
17,1900,-10.7
17,2000,-10.7
17,2100,-11.1
17,2200,-10.9
17,2300,-10.1
18,0,-7.9
18,100,-7.2
18,200,-6.5
18,300,-4.2
18,400,-3.3
18,500,-3.1
18,600,-3.2
18,700,-3.9
18,800,-4.1
18,900,-4.5
18,1000,-5.2
18,1100,-5.9
18,1200,-6.1
18,1300,-5.9
18,1400,-6.1
18,1500,-6
18,1600,-6.4
18,1700,-6.8
18,1800,-7.1
18,1900,-7.2
18,2000,-7.3
18,2100,-7.4
18,2200,-6.7
18,2300,-5.9
19,0,-4.2
19,100,-2.7
19,200,-1.8
19,300,-0.6
19,400,0.6
19,500,0.3
19,600,-0.2
19,700,-1.7
19,800,-1.6
19,900,-1.6
19,1000,-1.6
19,1100,-1.7
19,1200,-2.1
19,1300,-2
19,1400,-2.4
19,1500,-2.7
19,1600,-3.7
19,1700,-4.2
19,1800,-4.5
19,1900,-4.9
19,2000,-5.5
19,2100,-6.3
19,2200,-6.4
19,2300,-5.9
20,0,-5.4
20,100,-5.3
20,200,-3.3
20,300,-4.4
20,400,-4.6
20,500,-5
20,600,-5.5
20,700,-6.2
20,800,-6.8
20,900,-7.7
20,1000,-7.7
20,1100,-9
20,1200,-10.1
20,1300,-10.3
20,1400,-10.4
20,1500,-10.9
20,1600,-11.4
20,1700,-11.7
20,1800,-11.8
20,1900,-12.3
20,2000,-12.8
20,2100,-13.2
20,2200,-12.7
20,2300,-11.5
21,0,-10.4
21,100,-9.1
21,200,-8.6
21,300,-8.2
21,400,-6.8
21,500,-6.9
21,600,-6.8
21,700,-7.5
21,800,-8.9
21,900,-9.1
21,1000,-9.4
21,1100,-10.3
21,1200,-10.5
21,1300,-11.4
21,1400,-11.7
21,1500,-11.7
21,1600,-12.6
21,1700,-12.6
21,1800,-12.8
21,1900,-12.9
21,2000,-13.3
21,2100,-13.6
21,2200,-13.7
21,2300,-12.1
22,0,-11.2
22,100,-9.9
22,200,-9.8
22,300,-8.5
22,400,-8.5
22,500,-7.5
22,600,-8.1
22,700,-8.5
22,800,-9
22,900,-9.3
22,1000,-9.5
22,1100,-9.6
22,1200,-9.8
22,1300,-10.2
22,1400,-10.4
22,1500,-10.9
22,1600,-11.2
22,1700,-11.4
22,1800,-11.8
22,1900,-11.8
22,2000,-12
22,2100,-12.1
22,2200,-12.1
22,2300,-9.8
23,0,-8.9
23,100,-6
23,200,-6.1
23,300,-3.6
23,400,-2.5
23,500,-2.3
23,600,-2.5
23,700,-3.1
23,800,-3.5
23,900,-3.8
23,1000,-3.5
23,1100,-4
23,1200,-4.5
23,1300,-5.4
23,1400,-5.6
23,1500,-5.5
23,1600,-5.3
23,1700,-5.1
